caldt,vwretd
2018-02-06,0.017497
2018-02-07,-0.004850
2018-02-08,-0.037319
2018-02-09,0.014951
2018-02-12,0.013963
2018-02-13,0.002875
2018-02-14,0.013778
2018-02-15,0.012212
2018-02-16,0.000438
2018-02-20,-0.006364
2018-02-21,-0.005479
2018-02-22,0.001099
2018-02-23,0.015958
2018-02-26,0.011616
2018-02-27,-0.012648
2018-02-28,-0.010905
2018-03-01,-0.013175
2018-03-02,0.005148
2018-03-05,0.011092
2018-03-06,0.002668
2018-03-07,-0.000409
2018-03-08,0.004787
2018-03-09,0.017286
2018-03-12,-0.001205
2018-03-13,-0.006243
2018-03-14,-0.005415
2018-03-15,-0.000838
2018-03-16,0.001796
2018-03-19,-0.014157
2018-03-20,0.001355
2018-03-21,-0.001780
2018-03-22,-0.025057
2018-03-23,-0.020962
2018-03-26,0.027133
2018-03-27,-0.017408
2018-03-28,-0.002816
2018-03-29,0.013847
2018-04-02,-0.022603
2018-04-03,0.012581
2018-04-04,0.011636
2018-04-05,0.007132
2018-04-06,-0.021919
2018-04-09,0.003559
2018-04-10,0.016597
2018-04-11,-0.005493
2018-04-12,0.008280
2018-04-13,-0.002918
2018-04-16,0.008187
2018-04-17,0.010819
2018-04-18,0.000885
2018-04-19,-0.005289
2018-04-20,-0.008536
2018-04-23,-0.000043
2018-04-24,-0.013428
2018-04-25,0.001845
2018-04-26,0.010462
2018-04-27,0.001203
2018-04-30,-0.007996
2018-05-01,0.002453
2018-05-02,-0.007358
2018-05-03,-0.002101
2018-05-04,0.012933
2018-05-07,0.003380
2018-05-08,-0.000218
2018-05-09,0.009517
2018-05-10,0.009527
2018-05-11,0.002117
