PERMNO,date
18484,2022-11-08
18484,2022-11-09
18484,2022-11-10
18484,2022-11-11
18484,2022-11-14
18484,2022-11-15
18484,2022-11-16
18484,2022-11-17
18484,2022-11-18
18484,2022-11-21
18484,2022-11-22
18484,2022-11-23
18484,2022-11-25
18484,2022-11-28
18484,2022-11-29
18484,2022-11-30
18484,2022-12-01
18484,2022-12-02
86356,2013-12-02
86356,2013-12-03
86356,2013-12-04
86356,2013-12-05
86356,2013-12-06
86356,2013-12-09
86356,2013-12-10
86356,2013-12-11
86356,2013-12-12
86356,2013-12-13
86356,2013-12-16
86356,2013-12-17
86356,2013-12-18
86356,2013-12-19
86356,2013-12-20
86356,2013-12-23
86356,2013-12-24
86356,2013-12-26
86356,2013-12-27
86356,2013-12-30
86356,2013-12-31
86356,2014-01-02
86356,2014-01-03
86356,2014-01-06
86356,2014-01-07
86356,2014-01-08
86356,2014-01-09
86356,2014-01-10
86356,2014-01-13
86356,2014-01-14
86356,2014-01-15
86356,2014-01-16
86356,2014-01-17
86356,2014-01-21
86356,2014-01-22
86356,2014-01-23
86356,2014-01-24
86356,2014-01-27
86356,2014-01-28
86356,2014-01-29
86356,2014-01-30
86356,2014-01-31
86356,2014-02-03
86356,2014-02-04
86356,2014-02-05
86356,2014-02-06
86356,2014-02-07
86356,2014-02-10
86356,2014-02-11
86356,2014-02-12
86356,2014-02-13
86356,2014-02-14
86356,2014-02-18
86356,2014-02-19
86356,2014-02-20
86356,2014-02-21
86356,2014-02-24
86356,2014-02-25
86356,2014-02-26
86356,2014-02-27
86356,2014-02-28
86356,2014-03-03
86356,2014-03-04
86356,2014-03-05
86356,2014-03-06
86356,2014-03-07
86356,2014-03-10
86356,2014-03-11
86356,2014-03-12
86356,2014-03-13
86356,2014-03-14
86356,2014-03-17
86356,2014-03-18
86356,2014-03-19
86356,2014-03-20
86356,2014-03-21
86356,2014-03-24
86356,2014-03-25
86356,2014-03-26
86356,2014-03-27
86356,2014-03-28
86356,2014-03-31
86356,2014-04-01
86356,2014-04-02
86356,2014-04-03
86356,2014-04-04
86356,2014-04-07
86356,2014-04-08
86356,2014-04-09
86356,2014-04-10
86356,2014-04-11
86356,2014-04-14
86356,2014-04-15
86356,2014-04-16
86356,2014-04-17
86356,2014-04-21
86356,2014-04-22
86356,2014-04-23
86356,2014-04-24
86356,2014-04-25
86356,2014-04-28
86356,2014-04-29
86356,2014-04-30
86356,2014-05-01
86356,2014-05-02
86356,2014-05-05
86356,2014-05-06
86356,2014-05-07
86356,2014-05-08
86356,2014-05-09
86356,2014-05-12
86356,2014-05-13
86356,2014-05-14
86356,2014-05-15
86356,2014-05-16
86356,2014-05-19
86356,2014-05-20
86356,2014-05-21
86356,2014-05-22
86356,2014-05-23
86356,2014-05-27
86356,2014-05-28
86356,2014-05-29
86356,2014-05-30
86356,2014-06-02
86356,2014-06-03
86356,2014-06-04
86356,2014-06-05
86356,2014-06-06
86356,2014-06-09
